Month,Day,n_taxi
01,01,2879.0
01,02,4408.0
01,03,3916.0
01,04,5991.0
01,05,5465.0
01,06,5201.0
01,07,5329.0
01,08,5390.0
01,09,3939.0
01,10,3109.0
01,11,5640.0
01,12,5300.0
01,13,5444.0
01,14,5742.0
01,15,5613.0
01,16,3710.0
01,17,2859.0
01,18,4924.0
01,19,5424.0
01,20,4970.0
01,21,5316.0
01,22,5635.0
01,23,3885.0
01,24,3175.0
01,25,5500.0
01,26,4479.0
01,27,5335.0
01,28,5912.0
01,29,5972.0
01,30,3985.0
01,31,2745.0
02,01,5941.0
02,02,5767.0
02,03,6146.0
02,04,5922.0
02,05,5945.0
02,06,4124.0
02,07,3506.0
02,08,6246.0
02,09,5907.0
02,10,6213.0
02,11,6389.0
02,12,6771.0
02,13,5169.0
02,14,3945.0
02,15,4883.0
02,16,4422.0
02,17,6178.0
02,18,6655.0
02,19,6900.0
02,20,4500.0
02,21,3541.0
02,22,6167.0
02,23,6283.0
02,24,6065.0
02,25,6308.0
02,26,6637.0
02,27,4798.0
02,28,3933.0
03,01,6504.0
03,02,6072.0
03,03,6676.0
03,04,6969.0
03,05,7050.0
03,06,4908.0
03,07,4245.0
03,08,6449.0
03,09,6611.0
03,10,6469.0
03,11,6714.0
03,12,7228.0
03,13,6200.0
03,14,4542.0
03,15,7242.0
03,16,7160.0
03,17,7548.0
03,18,7996.0
03,19,8178.0
03,20,6085.0
03,21,5062.0
03,22,7290.0
03,23,7336.0
03,24,7263.0
03,25,8079.0
03,26,8293.0
03,27,6321.0
03,28,5339.0
03,29,7746.0
03,30,7466.0
03,31,7650.0
04,01,8554.0
04,02,8507.0
04,03,6565.0
04,04,5644.0
04,05,7744.0
04,06,7870.0
04,07,7616.0
04,08,8404.0
04,09,8595.0
04,10,6435.0
04,11,5436.0
04,12,8231.0
04,13,7882.0
04,14,7751.0
04,15,8408.0
04,16,9084.0
04,17,6752.0
04,18,5536.0
04,19,8068.0
04,20,7663.0
04,21,7568.0
04,22,8505.0
04,23,9011.0
04,24,6558.0
04,25,5792.0
04,26,8190.0
04,27,8295.0
04,28,7929.0
04,29,8552.0
04,30,9449.0
05,01,7632.0
05,02,6657.0
05,03,8762.0
05,04,8246.0
05,05,8594.0
05,06,9285.0
05,07,10030.0
05,08,8068.0
05,09,6372.0
05,10,8631.0
05,11,8408.0
05,12,8331.0
05,13,8435.0
05,14,10294.0
05,15,7757.0
05,16,6931.0
